doc,tag,annotation
2018 - Citizen Data and Trust in Official Statistics.xml,co-production,with citizens as co‑producers of data for official statistics rather than as ever more distant subjects whose impres‑sions and confidence need to be managed.
2018 - Citizen Data and Trust in Official Statistics.xml,method,"several years of field‑work conducted at NSIs and international sta‑tistical organisations (see Box; see also the working paper by Grommé et al., 2017). This research led to the identification of four prin‑ciples for citizen data that started from key “matters of concern” statisticians have expressed about the future of official statistics"
2018 - Citizen Data and Trust in Official Statistics.xml,method,"The four matters of concern we identified as significant to our concept of citizen data are experimentalism, citizen science, smart sta‑tistics and privacy‑by‑design."
2018 - Citizen Data and Trust in Official Statistics.xml,statistics reference,"We are aware that issues of representation also affect established sta-tistical methods. GDP, Gross Domestic Product, for instance, is one such highly debated official statistic. Columbia University economist Joseph Stiglitz draws attention to how GDP has come to be ”fetishised” as ”the” indicator of how well a national economy is doing, despite various short-comings (Stiglitz et al., 2009)."
2018 - Citizen Data and Trust in Official Statistics.xml,alternative,"Consequently, Fleurbaey (2009) suggests moving ”beyond GDP” and draws attention to other approaches, including recent developments in the analysis of sustainability, happiness and the theory of social choice and fair allocation to the studies of social welfare."
2018 - Citizen Data and Trust in Official Statistics.xml,statistics reference,"Fieldwork notes, Eurostat conference ""Towards More Agile Social Statistics"","
2018 - Citizen Data and Trust in Official Statistics.xml,alternative," Fieldwork notes, Eurostat conference ""Towards More Agile Social Statistics"","
2018 - Citizen Data and Trust in Official Statistics.xml,method,"Our concept of citizen data comes from several years of ethnographic fieldwork that we conducted at five NSIs and two international statistical organisations, which involved observing conferences and meetings, follow‑ing and analysing publications, and conducting inter‑views and engaging in conversations with statisticians."
2018 - Citizen Data and Trust in Official Statistics.xml,method,"That review led to a collab‑orative workshop with the advisory group and a broader group of statisticians, academic researchers, information designers and facilitators on the development of design principles for the co‑production of an app for citizen data."
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,Another reason is that the principles and concept of citizen data also apply to debates within the social sciences concerning research methods that engage with digital technologies and Big Data sources.
2018 - Citizen Data and Trust in Official Statistics.xml,method,"Third, as reflected in our research method which involved workshops with statisticians, a concept of citizen data calls for experimen‑tal engagements not only with citizens but also between social scientists and statisticians."
2018 - Citizen Data and Trust in Official Statistics.xml,embraced experimentation,"inno‑vation laboratories, sandboxes, hackathons and exploratory research projects.5 For statisticians, experiments with new digital technologies and Big Data are methods to develop new ways of thinking, techniques, and skills"
2018 - Citizen Data and Trust in Official Statistics.xml,embraced experimentation,to open scientific and technological expertise to different actors to generate new ways of think‑ing
2018 - Citizen Data and Trust in Official Statistics.xml,solutions,"The first is through var‑ious forms of participation intended to achieve a degree of democratisation by opening up scien‑tific and technical debates and processes to publics (Marres, 2012). The second is to experi‑ment collaboratively to develop and explore new problem formulations, transcend ingrained styles of reasoning, disrupt existing hierar‑chies and critically examine how knowledge is created (Rabinow &amp; Bennett, 2012)."
2018 - Citizen Data and Trust in Official Statistics.xml,solutions,Another form of collaboration involves the co‑production of a “thing” – a tangible end‑product – through which collaborators practically explore and develop shared concepts and issues.
2018 - Citizen Data and Trust in Official Statistics.xml,group making,"As a method, it forces participants to make future modes of working explicit (Muniesa &amp; Linhardt, 2011)."
2018 - Citizen Data and Trust in Official Statistics.xml,method,"This is also a principle of what is called in the social sciences and humanities, practice‑based research, which involves an engagement between partici‑pants and the skills, materials, small tasks and everyday labour, in addition to texts and spo‑ken word, that are enrolled in making things (Jungnickel, 2017)."
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,"For example, in an article on a collaboration between academics, farmers and environmenta‑lists, Waterton and Tsouvalis (2015, p. 477) ask how “the politics of nature can be envi‑sioned for an age conscious of the complexity, contingency, and relationality of the world?” "
2018 - Citizen Data and Trust in Official Statistics.xml,reference,"Waterton and Tsouvalis (2015, p. 477) ask how “the politics of nature can be envi‑sioned for an age conscious of the complexity, contingency, and relationality of the world?”"
2018 - Citizen Data and Trust in Official Statistics.xml,knowledge production,"They thus adopted an agenda of experimentation that understands the generation of knowledge as involving “hybrid forums” (Callon et al., 2011) or “new collectives” (Latour, 2006)"
2018 - Citizen Data and Trust in Official Statistics.xml,method,"knowledge production. In practice this entails a “care‑full” approach (Grommé, 2015) which entails the exercise of responsibilities for monitoring and documenting who and what are (unavoidably) included and excluded; avoid‑ing ambiguity about the terms of evaluation by making explicit how outcomes are assessed; recognising that failure is likely caused by my‑ riad factors; and, understanding that values are inseparable from facts."
2018 - Citizen Data and Trust in Official Statistics.xml,citizen trust,"Finally, it means being open to how relations between different par‑ticipants in the making of knowledge might be organised differently."
2018 - Citizen Data and Trust in Official Statistics.xml,citizen science model,"Different models of citizen science conceive of citizens as not only research subjects, but as actively involved in the production of data as opposed to traditional methods where they are usually understood as respondents."
2018 - Citizen Data and Trust in Official Statistics.xml,citizen science model,"The European Commission (EC), for example, defines it as the “production of knowledge beyond the scope of professional science, often referred to as lay, local and tra‑ditional knowledge” (European Commission, 2013, p. 5)"
2018 - Citizen Data and Trust in Official Statistics.xml,citizen science model,Goodchild (2007) uses the term to describe communities or networks of citi‑zens who act as observers in some domain of science.
2018 - Citizen Data and Trust in Official Statistics.xml,history of citizen science,"However, the prac‑tice of engaging people in collecting and sub‑mitting data for scientific purposes goes back at least to the 1960s, though the term itself was not used until the 1990s (ibid.).7"
2018 - Citizen Data and Trust in Official Statistics.xml,citizen science model,"A second version involves citizens not as only observers but co‑producers or producers of scientific studies and data to reflect their own concerns, needs and questions. This version includes local and activist‑oriented approaches referred to as “community based auditing”, “civic science”, “community environmental policing”, “street science”, “popular epidemi‑ology”, “crowd science”, and “Do It Yourself Science” (Kullenberg &amp; Kasperowski 2016, p. 2)"
2018 - Citizen Data and Trust in Official Statistics.xml,citizen science platform,data collection initiatives such as OpenStreetMap (OSM)
2018 - Citizen Data and Trust in Official Statistics.xml,citizen science platform,National Audubon Society’s Annual Christmas Bird Count in early 1900s
2018 - Citizen Data and Trust in Official Statistics.xml,benefits,"Jasanoff (2003) notes that models of citizen science can facilitate meaningful interaction among policymakers, scientific experts, corpo‑rate producers and publics (pp. 235–236)."
2018 - Citizen Data and Trust in Official Statistics.xml,new discourses (not new knowledge),"What is lacking is not just knowledge, but ways to bring uncer‑tain, unknown processes and methods into the dynamics of democratic debate (pp. 239–240)."
2018 - Citizen Data and Trust in Official Statistics.xml,citizen science model,"in the management of technology for “assessing the unknown and the uncertain, ‘modest assessments’” that engage citizens as active agents of knowledge, insight, and memory"
2018 - Citizen Data and Trust in Official Statistics.xml,scientific principles,Herbert Simon’s (1947) conception of “satisficing” rather than “optimizing” or “maximizing” in decision‑ making.
2018 - Citizen Data and Trust in Official Statistics.xml,application?,Gabrys &amp; Pritchard (2015) take a similar approach to suggest that the adequacy of an answer depends on how practi‑cal questions are posed.
2018 - Citizen Data and Trust in Official Statistics.xml,recording,What Gabrys &amp; Pritchard draw attention to is that the potential uses or value of data are often not known in advance and that there is value in organising data production and interpretation as practices of searching for potential rather than reiterating and replicating already known objectives or questions through previously established methods.
2018 - Citizen Data and Trust in Official Statistics.xml,citizen science platform,OSM is a collaborative initiative designed to create a free and editable map of the world.
2018 - Citizen Data and Trust in Official Statistics.xml,citizen science platform,"European Commission’s Joint Research Centre on Citizen Science and Open Data which has explored possible models of citizen engagement for monitoring the spread of invasive alien plant species (IAS) (Cardoso et al., 2017). That report argued that the imple‑mentation of the IAS Regulation"
2018 - Citizen Data and Trust in Official Statistics.xml,nationalistic principles,"sustainable development goals (SDGs) (United Nations, 2016). Modes of citizen engagement are recognised as key to ensuring that the 2030 Agenda for Sustainable Development is country‑owned and context specific and with goals linked to national values and priorities."
2018 - Citizen Data and Trust in Official Statistics.xml,political site of contention,"While these initiatives conceive of citizen engagement in varying ways, they generally limit it to tasks such as data production, verifica‑tion and classification. This has led to criticisms of these forms of citizen science as exploitative of citizens as free public labour (DataShift, n.d.; Piovesan, 2017; Paul, 2018)."
2018 - Citizen Data and Trust in Official Statistics.xml,citizen trust,"But, following from our argument about detachment, we suggest that inclusivity involves the right to make claims and articulate concerns about how environmental, economic and social issues should be categorised and known."
2018 - Citizen Data and Trust in Official Statistics.xml,benefits,"Such a conception could involve citi‑zen engagement in statistical production and lead to statistics that are more representative and inclusive of citizens’ concerns, needs and experiences, as well as their own identifications."
2018 - Citizen Data and Trust in Official Statistics.xml,future,"Eurostat’s Big Data Task Force. The proposals seek to engage with the potential of the proliferation of digital devices and sen‑sors connected to the internet and how the data they generate might be embedded in statistical production systems such that statistics could be produced in “real‑time” and “automatically”.12 In this view, data capturing, analysis and pro‑cessing are envisioned as embedded in activities that generate and simultaneously analyse data. The adoption of such an approach could dra‑matically transform the production system for official statistics and calls for rethinking busi‑ness processes and architectures, laws and regu‑lations, ethics, methodologies, and so on."
2018 - Citizen Data and Trust in Official Statistics.xml,citizen definition,"Being a citizen is understood as a political subjectivity that includes not only the possession of rights but the right to make rights claims such as the right to shape how data is made about them and the populations of which they are being constituted as a part (Ruppert, 2018)."
2018 - Citizen Data and Trust in Official Statistics.xml,co-production,"co‑production of smart statistics, which, by definition, involve uncertainty, adaptation and responsiveness to the interactions, interests and demands of different stakeholders. As such, co‑production demands an ethic of care that rec‑ognises and is responsive to the dependence on relations to citizens and their labours to “cre‑ate, hold together and sustain” data (Puig de la Bellacasa, 2012, p. 198)."
2018 - Citizen Data and Trust in Official Statistics.xml,co-production,The concept of citizen data we propose thus reconceives of smart statistics as involving new relations to citizens as co‑producers of data production platforms.
2021 - The Scope of Ecology.xml,history,"There have been three stages in the development of the biological sci- ences: first, a period of general work, when Darwin , Agassiz and others amassed and gave their knowledge of such natural phenomena as could be studied with the limited methods at hand"
2021 - The Scope of Ecology.xml,Darwin,Darwin
2021 - The Scope of Ecology.xml,Agassiz,Agassiz
2021 - The Scope of Ecology.xml,history,"next, men specialized in different branches, and gradually built up the biological sciences which we know today"
2021 - The Scope of Ecology.xml,history,now has begun the third or synthetic stage
2021 - The Scope of Ecology.xml,future,"Many sciences have been developed to the point where, although the field has not yet been fully covered, contact and cooperation with related sciences are essential to full development"
2021 - The Scope of Ecology.xml,history,Ecology represents the third phase
2021 - The Scope of Ecology.xml,institution,the Committee on Cooperation of the Ecological Society
2021 - The Scope of Ecology.xml,institution,Science
2021 - The Scope of Ecology.xml,ecology,"What, precisely, is the significance of this synthesis?"
2021 - The Scope of Ecology.xml,ecology,"It means taht the ecologist, though he specializes on animal ecology or plant ecology, must take the broad ecological point of view of his problem."
2021 - The Scope of Ecology.xml,cooperation,"He secures the cooperation of a meteorologist in order to get accurate data on climate; he calls in a soil specialist to determine the suitability of the differ- ent soils for the different tree species; he asks the assistance of a zoologist in protecting his sowings from damage by rodents; he cooperates with the phytopathologist in overcoming fungous attacks, and so on."
2021 - The Scope of Ecology.xml,ecology,"There is hardly a science which has not been influenced by the ecological point of view, for ecology is new in name but not in fact; it is superposed on the other sciences, not an offshoot as phytopathology grew out of botany."
2021 - The Scope of Ecology.xml,society,The workers in this field are gradually recognizing their con- nection with ecology.
2021 - The Scope of Ecology.xml,institution,Forest Service
2021 - The Scope of Ecology.xml,epistemology,Foresters have long recognized that information on the relation of the forest to its environment lies at the basis of their practice; they have sought this information under the name of silvics; now such work is beginning to be known as forest ecology.
2021 - The Scope of Ecology.xml,logics, In the field of sanitation men are endeavoring to change a dirty environment into a clean and therefore healthy one. What is this but ecology?
2021 - The Scope of Ecology.xml,aesthetics,In the field of sanitation men are endeavoring to change a dirty environment into a clean and therefore healthy one. What is this but ecology? 
2021 - The Scope of Ecology.xml,application,"During the war one of the army camps was infested with mosquitoes. An ecologist was summoned. He experimented, and found a certain kind of fish, which when introduced into the neighboring ponds destroyed the mosquitoes."
2021 - The Scope of Ecology.xml,history,"In the field of history, since the time of the great French historian Taine, there has been a growing tendency to correlate events with the influence upon man of his environment."
2021 - The Scope of Ecology.xml,future,"The foregoing instances will call to your minds many others showing the scope of ecology and its relation to the present trend of science. All the biological sciences demand research which is fundamentally ecological in character. Nobody can doubt that this demand will be even greater in the future. How are we, as a Society, going to respond to this demand? Will we be content to remain zoolgists, botanists, and foresters, with little understand- ing of one another's problems, or will we endeavor to become ecologists in the broad sense of the term? The part we will play in science depends upon our reply. Gentlemen, the future is in our own hands."
